Action|Param|Time|Date
ResetDB||0.024253599999610742|12/08/2020 21:44:57
CreateEmp|1000|17.262906700000713|12/08/2020 21:45:14
ResetDB||0.023592399999870395|12/08/2020 21:57:06
CreateEmp|5000|80.52971640000032|12/08/2020 21:58:26
ResetDB||0.11771930000031716|12/08/2020 22:10:42
ResetDB||0.03911990000051446|12/08/2020 22:12:44
ResetDB||0.03608189999977185|12/08/2020 22:14:47
ResetDB||0.07598509999843372|12/08/2020 22:16:53
CreateEmp|100|1.7101433000007091|12/08/2020 22:16:54
ResetDB||0.05703630000061821|12/08/2020 22:18:11
CreateEmp|2500|62.938785199999984|12/08/2020 22:19:14
ResetDB||0.04194009999991977|12/08/2020 22:36:28
CreateEmp|2500|64.1783703000001|12/08/2020 22:37:32
ResetDB||0.16654130000097211|12/08/2020 22:45:10
ResetDB||0.011605699999563512|12/08/2020 22:45:44
CreateEmp|2500|57.87318469999991|12/08/2020 22:46:42
ResetDB||0.06777529999999388|15/08/2020 21:22:28
ResetDB||0.02432809999982055|15/08/2020 21:28:15
ResetDB||0.02568880000012541|15/08/2020 21:29:46
CreateEmp|1000|32.74029169999994|15/08/2020 21:30:19
ResetDB||0.022642399999313056|15/08/2020 22:19:23
CreateEmp|500|11.681655000000319|15/08/2020 22:19:35
ActionCreation|4|0.00022979999994277023|15/08/2020 22:19:35
ResetDB||0.02015709999977844|15/08/2020 22:23:26
CreateEmp|500|10.427288799999587|15/08/2020 22:23:36
ActionCreation|4|0.00026109999998880085|15/08/2020 22:23:36
ResetDB||0.01926400000047579|15/08/2020 22:26:20
CreateEmp|500|13.266614899999695|15/08/2020 22:26:33
ActionCreation|4|0.00023809999947843608|15/08/2020 22:26:33
ResetDB||0.020114999999350403|15/08/2020 22:41:54
CreateEmp|500|16.53244480000012|15/08/2020 22:42:11
ActionCreation|4|0.0002401000001555076|15/08/2020 22:42:11
ResetDB||0.020634200000131386|15/08/2020 22:43:25
CreateEmp|500|15.301134100000127|15/08/2020 22:43:41
ActionCreation|4|3.2385883999995713|15/08/2020 22:43:44
ResetDB||0.04286950000005163|15/08/2020 22:45:25
